Provinsi,Kabupaten/Kota,Jumlah Produksi Sampah,Satuan,Tahun
JAWA BARAT,KABUPATEN BOGOR,1511.15,TON PER HARI,2015
JAWA BARAT,KABUPATEN SUKABUMI,419.01,TON PER HARI,2015
JAWA BARAT,KABUPATEN CIANJUR,981.41,TON PER HARI,2015
JAWA BARAT,KABUPATEN BANDUNG,189594.0,TON PER HARI,2015
JAWA BARAT,KABUPATEN GARUT,464.74,TON PER HARI,2015
JAWA BARAT,KABUPATEN TASIKMALAYA,464.52,TON PER HARI,2015
JAWA BARAT,KABUPATEN CIAMIS,260.91,TON PER HARI,2015
JAWA BARAT,KABUPATEN KUNINGAN,251.7,TON PER HARI,2015
JAWA BARAT,KABUPATEN CIREBON,465.75,TON PER HARI,2015
JAWA BARAT,KABUPATEN MAJALENGKA,254.63,TON PER HARI,2015
JAWA BARAT,KABUPATEN SUMEDANG,237.96,TON PER HARI,2015
JAWA BARAT,KABUPATEN INDRAMAYU,613.18,TON PER HARI,2015
JAWA BARAT,KABUPATEN SUBANG,487.26,TON PER HARI,2015
JAWA BARAT,KABUPATEN PURWAKARTA,308.96,TON PER HARI,2015
JAWA BARAT,KABUPATEN KARAWANG,869.86,TON PER HARI,2015
JAWA BARAT,KABUPATEN BEKASI,1228.6,TON PER HARI,2015
JAWA BARAT,KABUPATEN BANDUNG BARAT,616.08,TON PER HARI,2015
JAWA BARAT,KABUPATEN PANGANDARAN,185.83,TON PER HARI,2015
JAWA BARAT,KOTA BOGOR,991.93,TON PER HARI,2015
JAWA BARAT,KOTA SUKABUMI,309.91,TON PER HARI,2015
JAWA BARAT,KOTA BANDUNG,2448.63,TON PER HARI,2015
JAWA BARAT,KOTA CIREBON,304.15,TON PER HARI,2015
JAWA BARAT,KOTA BEKASI,2387.08,TON PER HARI,2015
JAWA BARAT,KOTA DEPOK,1844.3,TON PER HARI,2015
JAWA BARAT,KOTA CIMAHI,563.21,TON PER HARI,2015
JAWA BARAT,KOTA TASIKMALAYA,472.36,TON PER HARI,2015
JAWA BARAT,KOTA BANJAR,130.21,TON PER HARI,2015
JAWA BARAT,KABUPATEN BOGOR,1511.15,TON PER HARI,2016
